time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9
1524210819.5139718,2.215134772840851,0.6549820725307446,126.91787353645108,37.52770841274324,17.02943543,0.0,0.0,0.0,0.0,0.0,-2.258225164401144,0.0,0.0,-129.38677111042205,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210819.6771686,2.215134924592524,0.6549819775299494,126.91788223118148,37.52770296959862,17.02624054,0.0,0.0,0.0,0.0,0.0,-2.2609559441426863,0.0,0.0,-129.54323326439223,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210819.8403702,2.2151350775525507,0.6549818809775514,126.91789099514546,37.52769743755371,17.02517126,0.0,0.0,0.0,0.0,0.0,-2.2644380362641527,0.0,0.0,-129.742742446828,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.0035725,2.2151352318985893,0.6549817828766832,126.91789983852205,37.527691816788,17.0267908,0.0,0.0,0.0,0.0,0.0,-2.2688419286679453,0.0,0.0,-129.99506689499503,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.1667757,2.2151353870340684,0.6549816833741134,126.91790872713025,37.5276861157107,17.03037381,0.0,0.0,0.0,0.0,0.0,-2.274898752176788,0.0,0.0,-130.34209731930733,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.330003,2.2151355435181963,0.6549815815359621,126.91791769301035,37.52768028081444,17.03329008,0.0,0.0,0.0,0.0,0.0,-2.2809806719321526,0.0,0.0,-130.690565652627,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.4932003,2.215135700864097,0.6549814778255132,126.91792670826638,37.52767433864342,17.03442066,0.0,0.0,0.0,0.0,0.0,-2.2890964570021657,0.0,0.0,-131.155565884574,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.6564028,2.2151358587449335,0.6549813719224209,126.91793575417198,37.52766827084319,17.03361206,0.0,0.0,0.0,0.0,0.0,-2.298442178340367,0.0,0.0,-131.6910362737583,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.819593,2.215136017371219,0.6549812633585274,126.91794484278866,37.52766205059029,17.03148771,0.0,0.0,0.0,0.0,0.0,-2.3082421252991163,0.0,0.0,-132.2525318739467,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210820.9827852,2.215136176703472,0.6549811521331355,126.9179539718543,37.527655677844756,17.02767667,0.0,0.0,0.0,0.0,0.0,-2.3187017220330177,0.0,0.0,-132.8518226222081,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1524210821.1459994,2.215136336528924,0.6549810380852021,126.91796312917816,37.52764914337952,17.02247757,0.0,0.0,0.0,0.0,0.0,-2.329097514567269,0.0,0.0,-133.4474576591143,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
