name, accident, accident_maxdev, max_dev, attack_start_from_init, aggr_start_from_init, accident_from_init, attack_start_from_init_time, aggr_start_from_init_time, accident_time, attack_duration, success_attack_duration, crash_x, crash_y, spoofed_gps_x, spoofed_gps_y, pos_diff, start_time_x, start_time_y
attack-lhs_3738_3743_0.3_1.1, 1, 2.419579, 45.733823, 41, 46, 6686, 0.4000, 0.4500, 66.8500, 66.4000, 66.4000, 457.0986, 35.0681, 455.7303, 39.6963, 4.8262, 41.0100, 40.9900
attack-lhs_3739_3743_0.3_1.1, 1, 2.418510, 27.816656, 42, 46, 6658, 0.4100, 0.4500, 66.5700, 66.1200, 66.1200, 457.0985, 35.0701, 455.7482, 39.6348, 4.7602, 42.0000, 41.9900
attack-lhs_3740_3744_0.3_1.1, 1, 2.416079, 58.523237, 43, 47, 6675, 0.4200, 0.4600, 66.7400, 66.2800, 66.2800, 457.0976, 35.0718, 455.7989, 39.4640, 4.5801, 43.0000, 42.9900
attack-lhs_3741_3744_0.3_1.1, 1, 2.411976, 22.214839, 44, 47, 6699, 0.4300, 0.4600, 66.9800, 66.5200, 66.5200, 457.0969, 35.0751, 455.7846, 39.5141, 4.6290, 44.0100, 43.9900
attack-lhs_3742_3747_0.3_1.1, 1, 2.449837, 80.341195, 45, 50, 8049, 0.4400, 0.4900, 80.4800, 79.9900, 79.9900, 457.1102, 35.0440, 454.7039, 43.1676, 8.4724, 45.0100, 44.9900
attack-lhs_3743_3749_0.3_1.1, 1, 2.410221, 37.866160, 46, 52, 7571, 0.4500, 0.5100, 75.7000, 75.1900, 75.1900, 457.0842, 35.0881, 455.5103, 40.4272, 5.5662, 46.0100, 45.9900
attack-lhs_3744_3749_0.3_1.1, 1, 2.407353, 171.729684, 47, 52, 9245, 0.4600, 0.5100, 92.4400, 91.9300, 91.9300, 458.5409, 35.4572, 453.4024, 52.6772, 17.9703, 47.0000, 46.9900
attack-lhs_3745_3751_0.3_1.1, 1, 2.552032, 80.150312, 48, 54, 10016, 0.4700, 0.5300, 100.1500, 99.6200, 99.6200, 458.4476, 35.3399, 450.0250, 63.5043, 29.3969, 48.0000, 47.9900
attack-lhs_3746_3762_0.3_1.1, 1, 2.408921, 207.435000, 49, 65, 9184, 0.4800, 0.6400, 91.8300, 91.1900, 91.1900, 458.5975, 35.4297, 456.6919, 41.8153, 6.6639, 49.0100, 48.9900
attack-lhs_3747_3762_0.3_1.1, 1, 2.418872, 152.055514, 50, 65, 10037, 0.4900, 0.6400, 100.3600, 99.7200, 99.7200, 458.4087, 35.4666, 454.9677, 46.9741, 12.0110, 50.0100, 49.9800
