time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9
1514423652.0,-2.129524317525971,0.6530124318848309,-122.0127557647151,37.41485631657496,-30.67810590192676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.463695171987638e-05,8.642618195153773e-05,0.0003576622984837741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423667.0,-2.129524336271709,0.6530123733345872,-122.0127568387668,37.4148529618931,-30.68992776796222,-0.08232971098752583,-0.3183748646805087,-0.007293892093002796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.783747085137293e-05,9.185532690025866e-05,0.00037735904334113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423668.0,-2.129524368806758,0.6530122775362796,-122.0127587028878,37.41484747305439,-30.69095087051392,-0.1650229432590459,-0.6091917324436306,-0.001023102551698685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.731067696819082e-05,9.028738713823259e-05,0.0003784246509894729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423669.0,-2.129524411812945,0.6530121488806269,-122.0127611669608,37.41484010162849,-30.67310660891235,-0.2181342408715845,-0.8181351194881618,0.01784426160156727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.796865636715665e-05,9.626785322325304e-05,0.0004033460863865912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423670.0,-2.129524484785247,0.6530119325089215,-122.0127653479657,37.41482770444296,-30.67495211865753,-0.3701272228764821,-1.375930920458348,-0.001845509745180607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.243042248068377e-05,0.0001233989023603499,0.0005136783001944423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423671.0,-2.129524623878646,0.6530115329011026,-122.0127733174305,37.41480480860147,-30.67383794113994,-0.7055042456041214,-2.541149043394382,0.001114177517592907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.817055691499263e-05,9.106511424761266e-05,0.0004072622396051884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423672.0,-2.129524856745281,0.6530108808068352,-122.0127866597059,37.41476744635212,-30.68826422747225,-1.181137873046449,-4.146737462796279,-0.01442628633230925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.969831156311557e-05,9.799945109989494e-05,0.000436776754213497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423673.0,-2.129525191251584,0.6530099788874177,-122.0128058255052,37.41471577017603,-30.70553828496486,-1.696672147802649,-5.735402366575976,-0.01727405749261379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.257669833255932e-05,0.0001177840531454422,0.0005203759646974504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423674.0,-2.129525583757662,0.653008824839199,-122.0128283144469,37.41464964808374,-30.71762687433511,-1.990858498867156,-7.338716389520079,-0.0120885893702507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.502417378826067e-05,0.0001358014123979956,0.0006013225647620857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514423675.0,-2.129526054132781,0.6530074140628075,-122.012855264956,37.41456881655067,-30.71571931149811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.798527465434745e-05,8.993173105409369e-05,0.0004159795644227415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
