"filename", "language", "C++", "Python", "Markdown", "Shell Script", "Batch", "XML", "CSS", "PowerShell", "Makefile", "C", "ARM", "Lua", "Properties", "Log", "Docker", "Ini", "LinkerScript", "Perl", "DSDL", "Objective-C", "HTML", "YAML", "CMake", "pip requirements", "C#", "JSON", "JavaScript", "Java", "Swift", "XSL", "PHP", "F#", "TypeScript", "Ruby", "comment", "blank", "total"
"/home/bob/ardupilot/.azure/autotest_template.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 47
"/home/bob/ardupilot/.azure/azure-pipelines.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 65
"/home/bob/ardupilot/.flake8", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/bob/ardupilot/.github/CONTRIBUTING.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"/home/bob/ardupilot/.github/ISSUE_TEMPLATE.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/bob/ardupilot/.github/ISSUE_TEMPLATE/bug_report.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 37
"/home/bob/ardupilot/.github/ISSUE_TEMPLATE/feature_request.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/home/bob/ardupilot/.github/SUPPORT.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14
"/home/bob/ardupilot/.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 88
"/home/bob/ardupilot/APMrover2/AP_Arming.cpp", "C++", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 32, 198
