name, accident, accident_maxdev, max_dev, attack_start_from_init, aggr_start_from_init, accident_from_init, attack_start_from_init_time, aggr_start_from_init_time, accident_time, attack_duration, success_attack_duration, crash_x, crash_y, spoofed_gps_x, spoofed_gps_y, pos_diff, start_time_x, start_time_y
attack-rhs_1625_1766_1.1_1.5, 1, 2.858047, 19.149524, 728, 869, 87011, 7.2700, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 727.9900, 727.9900
attack-rhs_1626_1766_1.1_1.5, 1, 2.858094, 19.149734, 729, 869, 87011, 7.2800, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9816, 2856.0257, -2323.8525, 2857.7670, 5.4166, 728.9900, 728.9900
attack-rhs_1627_1766_1.1_1.5, 1, 2.858064, 19.149477, 730, 869, 87011, 7.2900, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 729.9900, 729.9900
attack-rhs_1628_1766_1.1_1.5, 1, 2.858064, 19.149431, 731, 869, 87011, 7.3000, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 730.9900, 730.9900
attack-rhs_1629_1766_1.1_1.5, 1, 2.858066, 19.149437, 732, 869, 87011, 7.3100, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 731.9900, 731.9900
attack-rhs_1630_1766_1.1_1.5, 1, 2.858066, 19.149439, 733, 869, 87011, 7.3200, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 732.9900, 732.9900
attack-rhs_1631_1766_1.1_1.5, 1, 2.858062, 19.149437, 734, 869, 87011, 7.3300, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 733.9900, 733.9900
attack-rhs_1632_1766_1.1_1.5, 1, 2.857818, 19.152738, 735, 869, 87011, 7.3400, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9813, 2856.0258, -2323.8525, 2857.7670, 5.4163, 734.9900, 734.9900
attack-rhs_1633_1766_1.1_1.5, 1, 2.859290, 18.185075, 736, 869, 86997, 7.3500, 8.6800, 869.9600, 861.2800, 861.2800, -2331.2847, 2853.4633, -2326.2872, 2855.1777, 5.2833, 735.9900, 735.9900
attack-rhs_1634_1766_1.1_1.5, 1, 2.858056, 19.149482, 737, 869, 87011, 7.3600, 8.6800, 870.1000, 861.4200, 861.4200, -2328.9815, 2856.0257, -2323.8525, 2857.7670, 5.4166, 736.9900, 736.9900
