time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9
1523503698.1248016,2.222513361880282,0.6342196434075644,127.34063554717197,36.338108851545506,54.0276804,0.0,0.0,0.0,0.0,0.0,-1.5883942774123403,0.0,0.0,-91.00828829845916,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503698.2880058,2.2225135531381057,0.6342196440184984,127.34064650543807,36.33810888654944,54.03656764,0.0,0.0,0.0,0.0,0.0,-1.5883728486311008,0.0,0.0,-91.00706051973404,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503698.451177,2.2225137483972874,0.6342196448423143,127.3406576929651,36.33810893375062,54.04656805,0.0,0.0,0.0,0.0,0.0,-1.587842988663534,0.0,0.0,-90.97670177985951,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503698.6144936,2.2225139470390767,0.6342196457130895,127.34066907430126,36.338108983642364,54.05492037,0.0,0.0,0.0,0.0,0.0,-1.5879397444235894,0.0,0.0,-90.98224547655427,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503698.7776806,2.2225141499255185,0.6342196463281362,127.3406806988381,36.338109018881944,54.05915778,0.0,0.0,0.0,0.0,0.0,-1.5878412943580704,0.0,0.0,-90.97660470330725,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503698.9408922,2.222514355443071,0.6342196466650448,127.34069247412646,36.33810903818539,54.05789327,0.0,0.0,0.0,0.0,0.0,-1.5877848977484492,0.0,0.0,-90.97337341559711,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503699.104101,2.2225145653930047,0.6342196470634883,127.34070450337158,36.338109061014514,54.05758384,0.0,0.0,0.0,0.0,0.0,-1.5875276447439532,0.0,0.0,-90.95863390417243,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503699.2672882,2.2225147804463,0.634219647060796,127.34071682501776,36.33810906086026,54.05797021,0.0,0.0,0.0,0.0,0.0,-1.587484727138647,0.0,0.0,-90.95617490652157,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503699.4304612,2.2225149995626112,0.6342196471145063,127.34072937945763,36.33810906393763,54.05870341,0.0,0.0,0.0,0.0,0.0,-1.5874769323748144,0.0,0.0,-90.95572829945166,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
1523503699.5936358,2.222515222473112,0.6342196470635552,127.34074215128852,36.33810906101834,54.05979921,0.0,0.0,0.0,0.0,0.0,-1.5871284075914125,0.0,0.0,-90.93575930030703,0,2,4,1,0.0013479511,0.0011385808,0.0009,0.0,0.0,0.0,0.0,0.0,6.85389194520071e-06,0.0
